,group,id,max_depth,n_estimators,Accuracy,Cross,test_train
0,2,100,50,10,0.9703125,"(0.9635795133053294, 0.8110752104258611, 0.9636806782740107, 0.9635795133053294)",0.3-0.7
1,2,100,50,20,0.9787109375,"(0.9717844840218955, 0.8177157478053548, 0.9716968870389918, 0.9717844840218955)",0.3-0.7
2,2,100,50,30,0.9814453125,"(0.9744636395315492, 0.8598228833521795, 0.9744435682422697, 0.9744636395315492)",0.3-0.7
3,2,100,50,40,0.9828125,"(0.9773101940566512, 0.8622272769007424, 0.9772437663502943, 0.9773101940566512)",0.3-0.7
4,2,100,50,50,0.9833984375,"(0.978314938723196, 0.8629761051949462, 0.978229051033831, 0.978314938723196)",0.3-0.7
5,2,100,50,60,0.9833984375,"(0.9782313268589353, 0.8629449619022698, 0.9781323163204977, 0.9782313268589353)",0.3-0.7
6,2,100,50,70,0.983203125,"(0.9789011332650416, 0.8634326569244767, 0.9788040745857536, 0.9789011332650416)",0.3-0.7
7,2,100,50,80,0.9833984375,"(0.9794871174625746, 0.8639025274459116, 0.9793639415561792, 0.9794871174625746)",0.3-0.7
8,2,100,50,90,0.98359375,"(0.9798219505508567, 0.8641216097378146, 0.9797024608852274, 0.9798219505508567)",0.3-0.7
9,2,100,50,100,0.9841796875,"(0.9795708344989915, 0.8639477188424312, 0.9794434319037457, 0.9795708344989915)",0.3-0.7
10,2,100,100,10,0.9703125,"(0.9635795133053294, 0.8110752104258611, 0.9636806782740107, 0.9635795133053294)",0.3-0.7
11,2,100,100,20,0.9787109375,"(0.9717844840218955, 0.8177157478053548, 0.9716968870389918, 0.9717844840218955)",0.3-0.7
12,2,100,100,30,0.9814453125,"(0.9744636395315492, 0.8598228833521795, 0.9744435682422697, 0.9744636395315492)",0.3-0.7
13,2,100,100,40,0.9828125,"(0.9773101940566512, 0.8622272769007424, 0.9772437663502943, 0.9773101940566512)",0.3-0.7
14,2,100,100,50,0.9833984375,"(0.978314938723196, 0.8629761051949462, 0.978229051033831, 0.978314938723196)",0.3-0.7
15,2,100,100,60,0.9833984375,"(0.9782313268589353, 0.8629449619022698, 0.9781323163204977, 0.9782313268589353)",0.3-0.7
16,2,100,100,70,0.983203125,"(0.9789011332650416, 0.8634326569244767, 0.9788040745857536, 0.9789011332650416)",0.3-0.7
17,2,100,100,80,0.9833984375,"(0.9794871174625746, 0.8639025274459116, 0.9793639415561792, 0.9794871174625746)",0.3-0.7
18,2,100,100,90,0.98359375,"(0.9798219505508567, 0.8641216097378146, 0.9797024608852274, 0.9798219505508567)",0.3-0.7
19,2,100,100,100,0.9841796875,"(0.9795708344989915, 0.8639477188424312, 0.9794434319037457, 0.9795708344989915)",0.3-0.7
20,2,100,10,10,0.910546875,"(0.8976890872669472, 0.8014787498385105, 0.9037363829322675, 0.8976890872669472)",0.3-0.7
21,2,100,10,20,0.9140625,"(0.9068989428795996, 0.7690739719850604, 0.9118387423097982, 0.9068989428795996)",0.3-0.7
22,2,100,10,30,0.9203125,"(0.910331656889162, 0.7320785645569512, 0.9155259228927906, 0.910331656889162)",0.3-0.7
23,2,100,10,40,0.9267578125,"(0.9124245126848137, 0.7736433421552305, 0.9175987064957981, 0.9124245126848137)",0.3-0.7
24,2,100,10,50,0.9267578125,"(0.9125081946638453, 0.7336801017806291, 0.9178305138261482, 0.9125081946638453)",0.3-0.7
25,2,100,10,60,0.926171875,"(0.91326185833591, 0.7343003949454208, 0.9184994016455604, 0.91326185833591)",0.3-0.7
26,2,100,10,70,0.9291015625,"(0.9137641605544117, 0.8146372642156227, 0.9190233324122346, 0.9137641605544117)",0.3-0.7
27,2,100,10,80,0.930859375,"(0.9126757339088354, 0.8538638375999131, 0.9182995916832477, 0.9126757339088354)",0.3-0.7
28,2,100,10,90,0.926953125,"(0.912926885018086, 0.8541613979666673, 0.9184890724134058, 0.912926885018086)",0.3-0.7
29,2,100,10,100,0.928515625,"(0.9123409008205531, 0.8136093210994592, 0.9178464274708142, 0.9123409008205531)",0.3-0.7
30,2,100,1000,10,0.9703125,"(0.9635795133053294, 0.8110752104258611, 0.9636806782740107, 0.9635795133053294)",0.3-0.7
31,2,100,1000,20,0.9787109375,"(0.9717844840218955, 0.8177157478053548, 0.9716968870389918, 0.9717844840218955)",0.3-0.7
32,2,100,1000,30,0.9814453125,"(0.9744636395315492, 0.8598228833521795, 0.9744435682422697, 0.9744636395315492)",0.3-0.7
33,2,100,1000,40,0.9828125,"(0.9773101940566512, 0.8622272769007424, 0.9772437663502943, 0.9773101940566512)",0.3-0.7
34,2,100,1000,50,0.9833984375,"(0.978314938723196, 0.8629761051949462, 0.978229051033831, 0.978314938723196)",0.3-0.7
35,2,100,1000,60,0.9833984375,"(0.9782313268589353, 0.8629449619022698, 0.9781323163204977, 0.9782313268589353)",0.3-0.7
36,2,100,1000,70,0.983203125,"(0.9789011332650416, 0.8634326569244767, 0.9788040745857536, 0.9789011332650416)",0.3-0.7
37,2,100,1000,80,0.9833984375,"(0.9794871174625746, 0.8639025274459116, 0.9793639415561792, 0.9794871174625746)",0.3-0.7
38,2,100,1000,90,0.98359375,"(0.9798219505508567, 0.8641216097378146, 0.9797024608852274, 0.9798219505508567)",0.3-0.7
39,2,100,1000,100,0.9841796875,"(0.9795708344989915, 0.8639477188424312, 0.9794434319037457, 0.9795708344989915)",0.3-0.7
40,2,100,2000,10,0.9703125,"(0.9635795133053294, 0.8110752104258611, 0.9636806782740107, 0.9635795133053294)",0.3-0.7
41,2,100,2000,20,0.9787109375,"(0.9717844840218955, 0.8177157478053548, 0.9716968870389918, 0.9717844840218955)",0.3-0.7
42,2,100,2000,30,0.9814453125,"(0.9744636395315492, 0.8598228833521795, 0.9744435682422697, 0.9744636395315492)",0.3-0.7
43,2,100,2000,40,0.9828125,"(0.9773101940566512, 0.8622272769007424, 0.9772437663502943, 0.9773101940566512)",0.3-0.7
44,2,100,2000,50,0.9833984375,"(0.978314938723196, 0.8629761051949462, 0.978229051033831, 0.978314938723196)",0.3-0.7
45,2,100,2000,60,0.9833984375,"(0.9782313268589353, 0.8629449619022698, 0.9781323163204977, 0.9782313268589353)",0.3-0.7
46,2,100,2000,70,0.983203125,"(0.9789011332650416, 0.8634326569244767, 0.9788040745857536, 0.9789011332650416)",0.3-0.7
47,2,100,2000,80,0.9833984375,"(0.9794871174625746, 0.8639025274459116, 0.9793639415561792, 0.9794871174625746)",0.3-0.7
48,2,100,2000,90,0.98359375,"(0.9798219505508567, 0.8641216097378146, 0.9797024608852274, 0.9798219505508567)",0.3-0.7
49,2,100,2000,100,0.9841796875,"(0.9795708344989915, 0.8639477188424312, 0.9794434319037457, 0.9795708344989915)",0.3-0.7
50,2,101,50,10,0.905078125,"(0.8790179444733083, 0.7038983800789953, 0.882916038821312, 0.8790179444733083)",0.3-0.7
51,2,101,50,20,0.928125,"(0.9019589365832932, 0.7225914875118609, 0.9048185402889711, 0.9019589365832932)",0.3-0.7
52,2,101,50,30,0.93203125,"(0.9068151557284118, 0.7267933572606513, 0.9094919390805767, 0.9068151557284118)",0.3-0.7
53,2,101,50,40,0.9267578125,"(0.9074011048685595, 0.7272395480095637, 0.9099732117405649, 0.9074011048685595)",0.3-0.7
54,2,101,50,50,0.926171875,"(0.909912475731525, 0.7293105997597232, 0.9124333206862547, 0.909912475731525)",0.3-0.7
