id,group,variables
1,1,"'A_D_1_an_0','A_D_1_an_45','A_D_1_an_90','A_D_1_an_135','A_D_2_an_0','A_D_2_an_45','A_D_2_an_90','A_D_2_an_135','A_D_3_an_0','A_D_3_an_45','A_D_3_an_90','A_D_3_an_135','mean_intensity','mean_offset','value_2_mad','value_3_mad','value_4_mad'"
2,1,"'C_D_1_an_0','C_D_1_an_45','C_D_1_an_90','C_D_1_an_135','C_D_2_an_0','C_D_2_an_45','C_D_2_an_90','C_D_2_an_135','C_D_3_an_0','C_D_3_an_45','C_D_3_an_90','C_D_3_an_135','mean_intensity','mean_offset','value_2_mad','value_3_mad','value_4_mad'"
3,1,"'Cor_D_1_an_0','Cor_D_1_an_45','Cor_D_1_an_90','Cor_D_1_an_135','Cor_D_2_an_0','Cor_D_2_an_45','Cor_D_2_an_90','Cor_D_2_an_135','Cor_D_3_an_0','Cor_D_3_an_45','Cor_D_3_an_90','Cor_D_3_an_135','mean_intensity','mean_offset','value_2_mad','value_3_mad','value_4_mad'"
4,1,"'Di_D_1_an_0','Di_D_1_an_45','Di_D_1_an_90','Di_D_1_an_135','Di_D_2_an_0','Di_D_2_an_45','Di_D_2_an_90','Di_D_2_an_135','Di_D_3_an_0','Di_D_3_an_45','Di_D_3_an_90','Di_D_3_an_135','mean_intensity','mean_offset','value_2_mad','value_3_mad','value_4_mad'"
5,1,"'E_D_1_an_0','E_D_1_an_45','E_D_1_an_90','E_D_1_an_135','E_D_2_an_0','E_D_2_an_45','E_D_2_an_90','E_D_2_an_135','E_D_3_an_0','E_D_3_an_45','E_D_3_an_90','E_D_3_an_135','mean_intensity','mean_offset','value_2_mad','value_3_mad','value_4_mad'"
6,1,"'H_D_1_an_0','H_D_1_an_45','H_D_1_an_90','H_D_1_an_135','H_D_2_an_0','H_D_2_an_45','H_D_2_an_90','H_D_2_an_135','H_D_3_an_0','H_D_3_an_45','H_D_3_an_90','H_D_3_an_135','mean_intensity','mean_offset','value_2_mad','value_3_mad','value_4_mad'"
7,1,"'A_D_1_an_0','A_D_1_an_45','A_D_1_an_90','A_D_1_an_135','mean_intensity','mean_offset','value_2_mad','value_3_mad','value_4_mad'"
8,1,"'A_D_2_an_0','A_D_2_an_45','A_D_2_an_90','A_D_2_an_135','mean_intensity','mean_offset','value_2_mad','value_3_mad','value_4_mad'"
9,1,"'A_D_3_an_0','A_D_3_an_45','A_D_3_an_90','A_D_3_an_135','mean_intensity','mean_offset','value_2_mad','value_3_mad','value_4_mad'"
10,1,"'C_D_1_an_0','C_D_1_an_45','C_D_1_an_90','C_D_1_an_135','mean_intensity','mean_offset','value_2_mad','value_3_mad','value_4_mad'"
11,1,"'C_D_2_an_0','C_D_2_an_45','C_D_2_an_90','C_D_2_an_135','mean_intensity','mean_offset','value_2_mad','value_3_mad','value_4_mad'"
12,1,"'C_D_3_an_0','C_D_3_an_45','C_D_3_an_90','C_D_3_an_135','mean_intensity','mean_offset','value_2_mad','value_3_mad','value_4_mad'"
13,1,"'Cor_D_1_an_0','Cor_D_1_an_45','Cor_D_1_an_90','Cor_D_1_an_135','mean_intensity','mean_offset','value_2_mad','value_3_mad','value_4_mad'"
14,1,"'Cor_D_2_an_0','Cor_D_2_an_45','Cor_D_2_an_90','Cor_D_2_an_135','mean_intensity','mean_offset','value_2_mad','value_3_mad','value_4_mad'"
15,1,"'Cor_D_3_an_0','Cor_D_3_an_45','Cor_D_3_an_90','Cor_D_3_an_135','mean_intensity','mean_offset','value_2_mad','value_3_mad','value_4_mad'"
16,1,"'Di_D_1_an_0','Di_D_1_an_45','Di_D_1_an_90','Di_D_1_an_135','mean_intensity','mean_offset','value_2_mad','value_3_mad','value_4_mad'"
17,1,"'Di_D_2_an_0','Di_D_2_an_45','Di_D_2_an_90','Di_D_2_an_135','mean_intensity','mean_offset','value_2_mad','value_3_mad','value_4_mad'"
18,1,"'Di_D_3_an_0','Di_D_3_an_45','Di_D_3_an_90','Di_D_3_an_135','mean_intensity','mean_offset','value_2_mad','value_3_mad','value_4_mad'"
19,1,"'E_D_1_an_0','E_D_1_an_45','E_D_1_an_90','E_D_1_an_135','mean_intensity','mean_offset','value_2_mad','value_3_mad','value_4_mad'"
20,1,"'E_D_2_an_0','E_D_2_an_45','E_D_2_an_90','E_D_2_an_135','mean_intensity','mean_offset','value_2_mad','value_3_mad','value_4_mad'"
21,1,"'E_D_3_an_0','E_D_3_an_45','E_D_3_an_90','E_D_3_an_135','mean_intensity','mean_offset','value_2_mad','value_3_mad','value_4_mad'"
22,1,"'H_D_1_an_0','H_D_1_an_45','H_D_1_an_90','H_D_1_an_135','mean_intensity','mean_offset','value_2_mad','value_3_mad','value_4_mad'"
23,1,"'H_D_2_an_0','H_D_2_an_45','H_D_2_an_90','H_D_2_an_135','mean_intensity','mean_offset','value_2_mad','value_3_mad','value_4_mad'"
