id,Exp,Site,Hole,Core,Type,Sect,Offset,value_1_gra,value_1_mad,value_2_mad,value_3_mad,value_4_mad,value_5_mad,value_6_mad,value_1_ms,value_1_ngr,value_1_pwl,value_1_rgb,value_2_rgb,value_3_rgb,value_1_rsc,value_2_rsc,value_3_rsc,lithology,cod_lit
170,362,u1480,e,1,h,2,80.0,1423.65,131.7,56.8,1403.0,605.0,2733.0,77.8,19.76,29806.0,1474.85,84.49,70.99,51.34,54.94,4.08,11.57,Calcareous-clay_claystone,3
171,362,u1480,e,1,h,2,80.6,1427.0,131.57,56.78,1403.18,605.43,2732.12,77.78,20.0,29676.79,1475.0,83.25,69.97,50.52,54.58,4.09,11.77,Calcareous-clay_claystone,3
172,362,u1480,e,1,h,2,80.68,1280.02,131.43,56.75,1403.36,605.86,2731.24,77.76,20.21,29600.16,1475.3,82.4,69.3,50.0,53.76,4.1,12.11,Calcareous-clay_claystone,3
173,362,u1480,e,1,h,2,81.68,926.08,131.3,56.73,1403.54,606.28,2730.36,77.73,20.41,29572.33,1475.71,83.3,70.2,50.9,52.93,4.1,12.46,Calcareous-clay_claystone,3
174,362,u1480,e,1,h,2,82.5,503.08,131.17,56.71,1403.72,606.71,2729.49,77.71,20.59,29589.53,1476.17,82.1,69.29,50.26,52.53,4.11,12.69,Calcareous-clay_claystone,3
175,362,u1480,e,1,h,2,82.68,148.89,131.04,56.68,1403.9,607.14,2728.63,77.69,20.79,29647.98,1476.62,81.1,68.5,49.7,52.52,4.11,12.82,Calcareous-clay_claystone,3
176,362,u1480,e,1,h,2,83.1,1.41,130.91,56.66,1404.09,607.57,2727.77,77.67,21.0,29743.9,1477.0,81.58,68.83,50.02,52.53,4.11,12.94,Calcareous-clay_claystone,3
177,362,u1480,e,1,h,2,83.68,223.63,130.77,56.64,1404.28,608.01,2726.92,77.65,21.24,29873.52,1477.31,82.5,69.6,50.7,52.58,4.12,13.03,Calcareous-clay_claystone,3
178,362,u1480,e,1,h,2,84.68,710.55,130.64,56.62,1404.47,608.44,2726.08,77.63,21.5,30033.05,1477.58,83.8,70.8,51.8,52.65,4.12,13.07,Calcareous-clay_claystone,3
179,362,u1480,e,1,h,2,85.0,1198.04,130.51,56.59,1404.66,608.87,2725.23,77.6,21.76,30218.73,1477.81,85.1,71.92,52.75,52.75,4.12,13.03,Calcareous-clay_claystone,3
180,362,u1480,e,1,h,2,85.6,1422.0,130.38,56.57,1404.85,609.3,2724.4,77.58,22.0,30426.77,1478.0,86.19,72.82,53.43,52.92,4.15,12.93,Calcareous-clay_claystone,3
181,362,u1480,e,1,h,2,85.68,1423.35,130.25,56.55,1405.04,609.74,2723.57,77.56,22.22,30653.41,1478.0,86.4,73.0,53.4,53.15,4.22,12.82,Calcareous-clay_claystone,3
182,362,u1480,e,1,h,2,86.68,1421.02,130.12,56.52,1405.23,610.17,2722.75,77.54,22.42,30894.85,1477.75,85.5,72.2,52.5,53.36,4.28,12.7,Calcareous-clay_claystone,3
183,362,u1480,e,1,h,2,87.5,1417.91,129.99,56.5,1405.43,610.61,2721.93,77.52,22.61,31147.32,1477.41,84.48,71.2,51.77,53.46,4.31,12.6,Calcareous-clay_claystone,3
184,362,u1480,e,1,h,2,87.68,1416.93,129.87,56.48,1405.62,611.04,2721.12,77.5,22.8,31407.05,1477.11,83.4,70.2,51.1,53.24,4.26,12.52,Calcareous-clay_claystone,3
185,362,u1480,e,1,h,2,88.1,1421.0,129.74,56.45,1405.82,611.48,2720.32,77.48,23.0,31670.26,1477.0,81.54,69.5,51.25,52.68,4.13,12.44,Calcareous-clay_claystone,3
