id,Exp,Site,Hole,Core,Type,Sect,Offset,value_1_gra,value_1_mad,value_2_mad,value_3_mad,value_4_mad,value_5_mad,value_6_mad,value_1_ms,value_1_ngr,value_1_pwl,value_1_rgb,value_2_rgb,value_3_rgb,value_1_rsc,value_2_rsc,value_3_rsc,lithology,cod_lit
170,362,u1480,e,1,h,2,80.0,1563.39,131.7,56.8,1403.0,605.0,2733.0,77.8,19.76,29806.0,1474.84,84.14,70.67,51.05,54.94,4.08,11.57,Calcareous-clay_claystone,3
171,362,u1480,e,1,h,2,80.6,1427.0,131.64,56.79,1402.91,605.06,2731.75,77.79,20.0,29657.36,1475.0,82.72,69.5,50.09,54.58,4.06,11.7,Calcareous-clay_claystone,3
172,362,u1480,e,1,h,2,80.68,1123.82,131.57,56.79,1402.83,605.13,2730.51,77.78,20.21,29542.63,1475.27,82.4,69.3,50.0,53.92,4.07,11.99,Calcareous-clay_claystone,3
173,362,u1480,e,1,h,2,81.68,728.29,131.5,56.78,1402.76,605.21,2729.29,77.77,20.41,29461.97,1475.64,83.3,70.2,50.9,53.17,4.09,12.35,Calcareous-clay_claystone,3
174,362,u1480,e,1,h,2,82.5,341.79,131.43,56.77,1402.7,605.31,2728.09,77.75,20.59,29415.52,1476.07,82.44,69.59,50.53,52.53,4.11,12.69,Calcareous-clay_claystone,3
175,362,u1480,e,1,h,2,82.68,65.7,131.36,56.77,1402.64,605.41,2726.91,77.74,20.79,29403.44,1476.53,81.1,68.5,49.7,52.17,4.11,12.93,Calcareous-clay_claystone,3
176,362,u1480,e,1,h,2,83.1,1.41,131.29,56.76,1402.6,605.53,2725.74,77.73,21.0,29425.88,1477.0,81.3,68.61,49.82,52.08,4.1,13.07,Calcareous-clay_claystone,3
177,362,u1480,e,1,h,2,83.68,211.74,131.22,56.75,1402.56,605.65,2724.6,77.72,21.24,29482.99,1477.43,82.5,69.6,50.7,52.18,4.09,13.12,Calcareous-clay_claystone,3
178,362,u1480,e,1,h,2,84.68,605.27,131.14,56.74,1402.53,605.79,2723.47,77.7,21.5,29574.92,1477.78,83.8,70.8,51.8,52.43,4.09,13.1,Calcareous-clay_claystone,3
179,362,u1480,e,1,h,2,85.0,1052.01,131.06,56.73,1402.51,605.93,2722.35,77.69,21.76,29701.83,1477.99,85.18,72.0,52.82,52.75,4.12,13.03,Calcareous-clay_claystone,3
180,362,u1480,e,1,h,2,85.6,1422.0,130.98,56.72,1402.5,606.09,2721.26,77.67,22.0,29863.87,1478.0,86.24,72.87,53.47,53.09,4.18,12.92,Calcareous-clay_claystone,3
181,362,u1480,e,1,h,2,85.68,1616.04,130.9,56.71,1402.49,606.25,2720.18,77.66,22.21,30061.19,1477.78,86.4,73.0,53.4,53.37,4.25,12.8,Calcareous-clay_claystone,3
182,362,u1480,e,1,h,2,86.68,1658.15,130.82,56.7,1402.49,606.43,2719.12,77.65,22.39,30293.94,1477.44,85.5,72.2,52.5,53.52,4.3,12.69,Calcareous-clay_claystone,3
183,362,u1480,e,1,h,2,87.5,1603.14,130.74,56.69,1402.5,606.61,2718.07,77.63,22.57,30562.27,1477.11,84.59,71.1,51.44,53.46,4.31,12.6,Calcareous-clay_claystone,3
184,362,u1480,e,1,h,2,87.68,1505.82,130.65,56.68,1402.52,606.81,2717.04,77.62,22.77,30866.34,1476.92,83.4,70.2,51.1,53.14,4.25,12.55,Calcareous-clay_claystone,3
185,362,u1480,e,1,h,2,88.1,1421.0,130.56,56.67,1402.55,607.01,2716.03,77.6,23.0,31206.29,1477.0,81.54,69.69,51.79,52.64,4.14,12.52,Calcareous-clay_claystone,3
186,362,u1480,e,1,h,2,88.68,1390.19,130.47,56.65,1402.58,607.22,2715.03,77.59,23.27,31582.29,1477.43,79.9,68.8,51.4,52.07,4.01,12.47,Calcareous-clay_claystone,3
