id,Exp,Site,Hole,Core,Type,Sect,Offset,value_1_gra,value_1_mad,value_2_mad,value_3_mad,value_4_mad,value_5_mad,value_6_mad,value_1_ms,value_1_ngr,value_1_pwl,value_1_rgb,value_2_rgb,value_3_rgb,value_1_rsc,value_2_rsc,value_3_rsc,lithology,cod_lit
170,362,u1480,e,1,h,2,80.0,1423.5,131.7,56.8,1403.0,605.0,2733.0,77.8,19.75,29806.0,1475.0,84.4,70.9,51.27,54.94,4.08,11.57,Calcareous-clay_claystone,3
171,362,u1480,e,1,h,2,80.6,1427.0,131.58,56.78,1403.22,605.44,2732.45,77.78,20.0,29952.5,1475.0,83.4,70.1,50.63,54.34,4.09,11.85,Calcareous-clay_claystone,3
172,362,u1480,e,1,h,2,80.68,1141.88,131.45,56.75,1403.44,605.89,2731.91,77.76,20.2,30099.0,1475.4,82.4,69.3,50.0,53.73,4.1,12.13,Calcareous-clay_claystone,3
173,362,u1480,e,1,h,2,81.68,856.76,131.33,56.73,1403.67,606.33,2731.36,77.74,20.4,30245.5,1475.8,83.3,70.2,50.9,53.13,4.1,12.41,Calcareous-clay_claystone,3
174,362,u1480,e,1,h,2,82.5,571.65,131.21,56.71,1403.89,606.78,2730.82,77.72,20.6,30392.0,1476.2,82.2,69.35,50.3,52.53,4.11,12.69,Calcareous-clay_claystone,3
175,362,u1480,e,1,h,2,82.68,286.53,131.08,56.68,1404.11,607.22,2730.27,77.7,20.8,30538.5,1476.6,81.1,68.5,49.7,52.57,4.11,12.76,Calcareous-clay_claystone,3
176,362,u1480,e,1,h,2,83.1,1.41,130.96,56.66,1404.33,607.67,2729.73,77.68,21.0,30685.0,1477.0,81.8,69.05,50.2,52.62,4.11,12.83,Calcareous-clay_claystone,3
177,362,u1480,e,1,h,2,83.68,356.56,130.84,56.64,1404.56,608.11,2729.18,77.66,21.25,30831.5,1477.25,82.5,69.6,50.7,52.66,4.12,12.89,Calcareous-clay_claystone,3
178,362,u1480,e,1,h,2,84.68,711.71,130.71,56.61,1404.78,608.56,2728.64,77.64,21.5,30978.0,1477.5,83.8,70.8,51.8,52.71,4.12,12.96,Calcareous-clay_claystone,3
179,362,u1480,e,1,h,2,85.0,1066.85,130.59,56.59,1405.0,609.0,2728.09,77.62,21.75,31124.5,1477.75,84.67,71.53,52.33,52.75,4.12,13.03,Calcareous-clay_claystone,3
180,362,u1480,e,1,h,2,85.6,1422.0,130.47,56.57,1405.22,609.44,2727.55,77.6,22.0,31271.0,1478.0,85.53,72.27,52.87,52.93,4.17,12.92,Calcareous-clay_claystone,3
181,362,u1480,e,1,h,2,85.68,1421.8,130.34,56.54,1405.44,609.89,2727.0,77.58,22.2,31417.5,1477.8,86.4,73.0,53.4,53.1,4.21,12.81,Calcareous-clay_claystone,3
182,362,u1480,e,1,h,2,86.68,1421.6,130.22,56.52,1405.67,610.33,2726.45,77.56,22.4,31564.0,1477.6,85.5,72.2,52.5,53.28,4.26,12.71,Calcareous-clay_claystone,3
183,362,u1480,e,1,h,2,87.5,1421.4,130.1,56.5,1405.89,610.78,2725.91,77.54,22.6,31710.5,1477.4,84.45,71.2,51.8,53.46,4.31,12.6,Calcareous-clay_claystone,3
184,362,u1480,e,1,h,2,87.68,1421.2,129.97,56.47,1406.11,611.22,2725.36,77.52,22.8,31857.0,1477.2,83.4,70.2,51.1,52.99,4.21,12.52,Calcareous-clay_claystone,3
185,362,u1480,e,1,h,2,88.1,1421.0,129.85,56.45,1406.33,611.67,2724.82,77.5,23.0,32003.5,1477.0,81.65,69.5,51.25,52.52,4.11,12.44,Calcareous-clay_claystone,3
186,362,u1480,e,1,h,2,88.68,1428.75,129.73,56.43,1406.56,612.11,2724.27,77.48,23.25,32150.0,1477.5,79.9,68.8,51.4,52.05,4.0,12.37,Calcareous-clay_claystone,3
187,362,u1480,e,1,h,2,89.68,1436.5,129.61,56.41,1406.78,612.56,2723.73,77.46,23.5,32296.5,1478.0,79.2,67.1,48.7,51.58,3.9,12.29,Calcareous-clay_claystone,3
188,362,u1480,e,1,h,2,90.0,1444.25,129.48,56.38,1407.0,613.0,2723.18,77.44,23.75,32443.0,1478.5,78.5,66.33,48.13,51.11,3.8,12.21,Calcareous-clay_claystone,3
189,362,u1480,e,1,h,2,90.6,1452.0,129.36,56.36,1407.22,613.44,2722.64,77.42,24.0,32882.17,1479.0,77.8,65.57,47.57,51.05,3.8,12.0,Calcareous-clay_claystone,3
190,362,u1480,e,1,h,2,90.68,1450.8,129.24,56.34,1407.44,613.89,2722.09,77.4,23.8,33321.33,1478.6,77.1,64.8,47.0,51.0,3.81,11.79,Calcareous-clay_claystone,3
191,362,u1480,e,1,h,2,91.68,1449.6,129.11,56.31,1407.67,614.33,2721.55,77.38,23.6,33760.5,1478.2,76.6,64.4,46.6,50.95,3.81,11.57,Calcareous-clay_claystone,3
192,362,u1480,e,1,h,2,92.5,1448.4,128.99,56.29,1407.89,614.78,2721.0,77.36,23.4,34199.67,1477.8,76.6,64.45,46.75,50.89,3.81,11.36,Calcareous-clay_claystone,3
193,362,u1480,e,1,h,2,92.68,1447.2,128.87,56.27,1408.11,615.22,2720.45,77.34,23.2,34638.83,1477.4,76.6,64.5,46.9,50.87,3.8,11.44,Calcareous-clay_claystone,3
194,362,u1480,e,1,h,2,93.1,1446.0,128.74,56.24,1408.33,615.67,2719.91,77.32,23.0,35078.0,1477.0,76.75,64.65,47.0,50.85,3.79,11.52,Calcareous-clay_claystone,3
195,362,u1480,e,1,h,2,93.68,1444.75,128.62,56.22,1408.56,616.11,2719.36,77.29,22.25,35517.17,1477.0,76.9,64.8,47.1,50.83,3.78,11.6,Calcareous-clay_claystone,3
196,362,u1480,e,1,h,2,94.68,1443.5,128.5,56.2,1408.78,616.56,2718.82,77.27,21.5,35956.33,1477.0,76.3,64.3,46.9,50.81,3.77,11.68,Calcareous-clay_claystone,3
197,362,u1480,e,1,h,2,95.0,1442.25,128.37,56.17,1409.0,617.0,2718.27,77.25,20.75,36395.5,1477.0,76.8,64.77,47.3,50.79,3.76,11.76,Calcareous-clay_claystone,3
198,362,u1480,e,1,h,2,95.6,1441.0,128.25,56.15,1409.22,617.44,2717.73,77.23,20.0,36834.67,1477.0,77.3,65.23,47.7,51.01,3.72,11.28,Calcareous-clay_claystone,3
199,362,u1480,e,1,h,2,95.68,1153.09,128.13,56.13,1409.44,617.89,2717.18,77.21,19.6,37273.83,1477.4,77.8,65.7,48.1,51.23,3.69,10.8,Calcareous-clay_claystone,3
200,362,u1480,e,1,h,2,96.68,865.18,128.0,56.1,1409.67,618.33,2716.64,77.19,19.2,37713.0,1477.8,75.1,63.4,46.4,51.45,3.65,10.32,Calcareous-clay_claystone,3
201,362,u1480,e,1,h,2,97.5,577.28,127.88,56.08,1409.89,618.78,2716.09,77.17,18.8,38152.17,1478.2,74.85,63.2,46.45,51.67,3.61,9.84,Calcareous-clay_claystone,3
202,362,u1480,e,1,h,2,97.68,289.37,127.76,56.06,1410.11,619.22,2715.55,77.15,18.4,38591.33,1478.6,74.6,63.0,46.5,51.33,3.68,9.86,Calcareous-clay_claystone,3
203,362,u1480,e,1,h,2,98.1,1.46,127.63,56.03,1410.33,619.67,2715.0,77.13,18.0,39030.5,1479.0,73.1,61.55,45.45,50.99,3.75,9.88,Calcareous-clay_claystone,3
204,362,u1480,e,1,h,2,98.68,367.6,127.51,56.01,1410.56,620.11,2714.45,77.11,17.75,39469.67,1479.5,71.6,60.1,44.4,50.65,3.81,9.9,Calcareous-clay_claystone,3
205,362,u1480,e,1,h,2,99.68,733.73,127.39,55.99,1410.78,620.56,2713.91,77.09,17.5,39908.83,1480.0,68.1,57.1,42.3,50.31,3.88,9.92,Calcareous-clay_claystone,3
206,362,u1480,e,1,h,2,100.0,1099.87,127.26,55.96,1411.0,621.0,2713.36,77.07,17.25,40348.0,1480.5,68.43,57.37,42.4,49.97,3.95,9.94,Calcareous-clay_claystone,3
207,362,u1480,e,1,h,2,100.6,1466.0,127.14,55.94,1411.22,621.44,2712.82,77.05,17.0,39985.22,1481.0,68.77,57.63,42.5,50.49,3.98,9.14,Calcareous-clay_claystone,3
208,362,u1480,e,1,h,2,100.68,1465.2,127.02,55.92,1411.44,621.89,2712.27,77.03,17.0,39622.44,1480.8,69.1,57.9,42.6,51.01,4.02,8.34,Calcareous-clay_claystone,3
209,362,u1480,e,1,h,2,101.68,1464.4,126.89,55.89,1411.67,622.33,2711.73,77.01,17.0,39259.67,1480.6,67.5,56.5,41.7,51.53,4.05,7.53,Calcareous-clay_claystone,3
210,362,u1480,e,1,h,2,102.5,1463.6,126.77,55.87,1411.89,622.78,2711.18,76.99,17.0,38896.89,1480.4,66.8,55.9,41.4,52.05,4.09,6.73,Calcareous-clay_claystone,3
211,362,u1480,e,1,h,2,102.68,1462.8,126.65,55.85,1412.11,623.22,2710.64,76.97,17.0,38534.11,1480.2,66.1,55.3,41.1,49.95,4.06,7.23,Calcareous-clay_claystone,3
