id,Exp,Site,Hole,Core,Type,Sect,Offset,value_1_gra,value_1_mad,value_2_mad,value_3_mad,value_4_mad,value_5_mad,value_6_mad,value_1_ms,value_1_ngr,value_1_pwl,value_1_rgb,value_2_rgb,value_3_rgb,value_1_rsc,value_2_rsc,value_3_rsc,lithology,cod_lit
0,362,u1480,e,1,h,2,2.5,1431.78,154.76,60.7,1383.75,534.79,2743.01,81.59,24.5,69345.33,1505.74,38.6,32.9,28.6,48.96,5.09,10.9,Calcareous-clay_claystone,3
1,362,u1480,e,1,h,2,3.1,1476.0,154.63,60.67,1383.79,535.19,2744.49,81.57,27.0,69838.32,1527.0,74.03,59.83,43.27,49.67,5.0,10.46,Calcareous-clay_claystone,3
2,362,u1480,e,1,h,2,3.68,1524.12,154.5,60.65,1383.82,535.59,2745.94,81.55,29.56,70319.67,1548.69,70.8,57.0,40.7,50.04,4.89,10.03,Calcareous-clay_claystone,3
3,362,u1480,e,1,h,2,4.68,1568.24,154.36,60.63,1383.86,535.99,2747.36,81.53,31.91,70789.38,1568.68,62.3,50.3,36.4,50.17,4.77,9.62,Calcareous-clay_claystone,3
4,362,u1480,e,1,h,2,5.0,1600.5,154.23,60.6,1383.9,536.39,2748.76,81.5,33.81,71247.42,1584.83,64.81,52.5,38.4,50.19,4.64,9.22,Calcareous-clay_claystone,3
5,362,u1480,e,1,h,2,5.6,1613.0,154.09,60.58,1383.94,536.79,2750.13,81.48,35.0,71693.79,1595.0,69.49,56.6,42.1,49.62,4.46,8.78,Calcareous-clay_claystone,3
6,362,u1480,e,1,h,2,5.68,1612.17,153.96,60.56,1383.98,537.2,2751.48,81.46,35.72,72128.47,1600.98,72.0,58.8,44.1,48.23,4.22,8.29,Calcareous-clay_claystone,3
7,362,u1480,e,1,h,2,6.68,1610.03,153.83,60.54,1384.02,537.6,2752.79,81.44,36.36,72551.46,1606.04,59.6,49.8,38.2,46.49,3.99,7.85,Calcareous-clay_claystone,3
8,362,u1480,e,1,h,2,7.0,1607.1,153.69,60.51,1384.06,538.0,2754.09,81.42,36.92,72962.74,1610.28,59.81,50.32,38.82,44.88,3.81,7.52,Calcareous-clay_claystone,3
9,362,u1480,e,1,h,2,7.5,1603.9,153.56,60.49,1384.11,538.4,2755.35,81.39,37.37,73362.29,1613.8,60.19,51.28,39.98,43.89,3.74,7.39,Ash_tuff_organic,2
10,362,u1480,e,1,h,2,7.68,1600.97,153.42,60.47,1384.15,538.8,2756.59,81.37,37.71,73750.12,1616.69,60.4,51.8,40.6,43.39,3.76,7.53,Ash_tuff_organic,2
11,362,u1480,e,1,h,2,8.0,1598.83,153.29,60.44,1384.2,539.2,2757.8,81.35,37.93,74126.2,1619.06,58.22,49.52,38.24,42.95,3.8,7.87,Ash_tuff_organic,2
