id,Exp,Site,Hole,Core,Type,Sect,Offset,value_1_gra,value_1_mad,value_2_mad,value_3_mad,value_4_mad,value_5_mad,value_6_mad,value_1_ms,value_1_ngr,value_1_pwl,value_1_rgb,value_2_rgb,value_3_rgb,value_1_rsc,value_2_rsc,value_3_rsc,lithology,cod_lit
170,362,u1480,e,1,h,2,80.0,1545.34,131.7,56.8,1403.0,605.0,2733.0,77.8,19.76,29806.0,1474.85,84.34,70.85,51.2,54.94,4.08,11.57,Calcareous-clay_claystone,3
171,362,u1480,e,1,h,2,80.6,1427.0,131.58,56.78,1403.12,605.34,2732.07,77.78,20.0,29705.48,1475.0,82.69,69.47,50.06,54.6,4.06,11.7,Calcareous-clay_claystone,3
172,362,u1480,e,1,h,2,80.68,1176.37,131.47,56.76,1403.24,605.68,2731.15,77.76,20.22,29634.44,1475.26,82.4,69.3,50.0,53.88,4.07,12.02,Calcareous-clay_claystone,3
173,362,u1480,e,1,h,2,81.68,793.47,131.35,56.74,1403.36,606.03,2730.24,77.74,20.41,29592.88,1475.64,83.3,70.2,50.9,53.08,4.1,12.4,Calcareous-clay_claystone,3
174,362,u1480,e,1,h,2,82.5,324.29,131.24,56.72,1403.49,606.37,2729.34,77.72,20.59,29580.81,1476.12,82.39,69.54,50.48,52.53,4.11,12.69,Calcareous-clay_claystone,3
175,362,u1480,e,1,h,2,82.68,44.94,131.12,56.71,1403.62,606.72,2728.44,77.7,20.78,29598.21,1476.58,81.1,68.5,49.7,52.22,4.11,12.9,Calcareous-clay_claystone,3
176,362,u1480,e,1,h,2,83.1,1.41,131.01,56.69,1403.74,607.07,2727.56,77.69,21.0,29645.09,1477.0,81.36,68.67,49.88,52.16,4.1,13.02,Calcareous-clay_claystone,3
177,362,u1480,e,1,h,2,83.68,193.72,130.89,56.67,1403.88,607.43,2726.68,77.67,21.24,29721.45,1477.38,82.5,69.6,50.7,52.31,4.09,13.07,Calcareous-clay_claystone,3
178,362,u1480,e,1,h,2,84.68,621.85,130.77,56.65,1404.01,607.78,2725.8,77.65,21.5,29827.29,1477.72,83.8,70.8,51.8,52.52,4.09,13.07,Calcareous-clay_claystone,3
179,362,u1480,e,1,h,2,85.0,1094.91,130.66,56.63,1404.15,608.14,2724.94,77.63,21.76,29962.61,1477.95,85.12,71.96,52.79,52.75,4.12,13.03,Calcareous-clay_claystone,3
180,362,u1480,e,1,h,2,85.6,1422.0,130.54,56.61,1404.28,608.5,2724.08,77.61,22.0,30126.61,1478.0,86.28,72.92,53.51,53.01,4.17,12.95,Calcareous-clay_claystone,3
181,362,u1480,e,1,h,2,85.68,1603.11,130.42,56.59,1404.42,608.86,2723.23,77.59,22.21,30318.52,1477.87,86.4,73.0,53.4,53.3,4.25,12.83,Calcareous-clay_claystone,3
182,362,u1480,e,1,h,2,86.68,1638.24,130.31,56.57,1404.57,609.22,2722.39,77.57,22.4,30538.32,1477.55,85.5,72.2,52.5,53.5,4.31,12.7,Calcareous-clay_claystone,3
183,362,u1480,e,1,h,2,87.5,1549.52,130.19,56.55,1404.71,609.59,2721.56,77.55,22.57,30786.03,1477.12,84.58,71.14,51.53,53.46,4.31,12.6,Calcareous-clay_claystone,3
184,362,u1480,e,1,h,2,87.68,1469.73,130.07,56.53,1404.86,609.95,2720.73,77.53,22.77,31061.62,1476.91,83.4,70.2,51.1,53.2,4.26,12.53,Calcareous-clay_claystone,3
185,362,u1480,e,1,h,2,88.1,1421.0,129.96,56.51,1405.0,610.32,2719.91,77.51,23.0,31365.12,1477.0,81.54,69.66,51.73,52.71,4.15,12.48,Calcareous-clay_claystone,3
186,362,u1480,e,1,h,2,88.68,1403.33,129.84,56.49,1405.15,610.7,2719.1,77.49,23.27,31696.52,1477.38,79.9,68.8,51.4,52.04,4.0,12.45,Calcareous-clay_claystone,3
187,362,u1480,e,1,h,2,89.68,1416.72,129.72,56.47,1405.31,611.07,2718.3,77.47,23.57,32055.81,1478.05,79.2,67.1,48.7,51.49,3.88,12.36,Calcareous-clay_claystone,3
188,362,u1480,e,1,h,2,90.0,1440.0,129.6,56.45,1405.46,611.45,2717.51,77.45,23.84,32443.0,1478.7,78.53,65.88,47.17,51.11,3.8,12.21,Calcareous-clay_claystone,3
189,362,u1480,e,1,h,2,90.6,1452.0,129.48,56.43,1405.62,611.83,2716.72,77.43,24.0,32858.09,1479.0,77.76,65.28,47.14,50.9,3.76,11.99,Calcareous-clay_claystone,3
190,362,u1480,e,1,h,2,90.68,1452.72,129.37,56.41,1405.78,612.21,2715.94,77.41,24.05,33301.07,1478.96,77.1,64.8,47.0,50.87,3.77,11.71,Calcareous-clay_claystone,3
191,362,u1480,e,1,h,2,91.68,1442.17,129.25,56.39,1405.94,612.59,2715.17,77.39,23.99,33771.96,1478.59,76.6,64.4,46.6,50.9,3.79,11.47,Calcareous-clay_claystone,3
192,362,u1480,e,1,h,2,92.5,1424.46,129.13,56.37,1406.1,612.97,2714.41,77.37,23.82,34270.74,1477.93,76.46,64.33,46.63,50.89,3.81,11.36,Calcareous-clay_claystone,3
193,362,u1480,e,1,h,2,92.68,1424.36,129.01,56.34,1406.27,613.36,2713.65,77.35,23.49,34797.42,1477.38,76.6,64.5,46.9,50.85,3.82,11.39,Calcareous-clay_claystone,3
194,362,u1480,e,1,h,2,93.1,1446.0,128.89,56.32,1406.43,613.75,2712.9,77.34,23.0,35352.0,1477.0,76.92,64.81,47.1,50.77,3.82,11.56,Calcareous-clay_claystone,3
195,362,u1480,e,1,h,2,93.68,1489.37,128.77,56.3,1406.6,614.14,2712.16,77.32,22.35,35934.47,1476.79,76.9,64.8,47.1,50.67,3.81,11.83,Calcareous-clay_claystone,3
196,362,u1480,e,1,h,2,94.68,1554.47,128.65,56.28,1406.78,614.53,2711.43,77.3,21.54,36544.84,1476.75,76.3,64.3,46.9,50.67,3.79,11.91,Calcareous-clay_claystone,3
197,362,u1480,e,1,h,2,95.0,1564.09,128.53,56.26,1406.95,614.93,2710.71,77.28,20.7,37183.11,1476.83,76.89,64.84,47.42,50.79,3.76,11.76,Calcareous-clay_claystone,3
198,362,u1480,e,1,h,2,95.6,1441.0,128.41,56.24,1407.13,615.33,2709.99,77.26,20.0,37801.94,1477.0,78.45,66.22,48.49,51.03,3.72,11.38,Calcareous-clay_claystone,3
199,362,u1480,e,1,h,2,95.68,1185.2,128.29,56.22,1407.3,615.73,2709.28,77.24,19.42,38353.97,1477.25,77.8,65.7,48.1,51.38,3.66,10.78,Calcareous-clay_claystone,3
200,362,u1480,e,1,h,2,96.68,796.7,128.17,56.2,1407.48,616.13,2708.58,77.22,18.97,38839.21,1477.59,75.1,63.4,46.4,51.66,3.62,10.19,Calcareous-clay_claystone,3
201,362,u1480,e,1,h,2,97.5,322.15,128.05,56.17,1407.67,616.53,2707.89,77.2,18.63,39257.65,1478.01,74.42,62.86,46.19,51.67,3.61,9.84,Calcareous-clay_claystone,3
202,362,u1480,e,1,h,2,97.68,41.52,127.93,56.15,1407.85,616.94,2707.2,77.18,18.31,39609.31,1478.48,74.6,63.0,46.5,51.41,3.64,9.74,Calcareous-clay_claystone,3
203,362,u1480,e,1,h,2,98.1,1.46,127.81,56.13,1408.04,617.35,2706.52,77.16,18.0,39894.17,1479.0,73.82,62.16,45.91,50.88,3.7,9.89,Calcareous-clay_claystone,3
204,362,u1480,e,1,h,2,98.68,201.98,127.69,56.11,1408.22,617.76,2705.85,77.14,17.7,40112.24,1479.57,71.6,60.1,44.4,50.17,3.79,10.21,Calcareous-clay_claystone,3
205,362,u1480,e,1,h,2,99.68,643.08,127.57,56.09,1408.42,618.17,2705.19,77.12,17.4,40263.52,1480.19,68.1,57.1,42.3,49.84,3.88,10.25,Calcareous-clay_claystone,3
206,362,u1480,e,1,h,2,100.0,1129.5,127.45,56.07,1408.61,618.58,2704.54,77.1,17.16,40348.0,1480.72,67.22,56.34,41.69,49.97,3.95,9.94,Calcareous-clay_claystone,3
207,362,u1480,e,1,h,2,100.6,1466.0,127.33,56.04,1408.8,619.0,2703.89,77.08,17.0,40365.69,1481.0,68.92,57.77,42.55,50.57,4.01,9.28,Calcareous-clay_claystone,3
208,362,u1480,e,1,h,2,100.68,1652.58,127.21,56.02,1409.0,619.42,2703.25,77.06,16.93,40316.59,1481.04,69.1,57.9,42.6,51.64,4.06,8.26,Calcareous-clay_claystone,3
209,362,u1480,e,1,h,2,101.68,1689.23,127.09,56.0,1409.2,619.84,2702.62,77.04,16.96,40200.7,1480.85,67.5,56.5,41.7,52.39,4.09,7.28,Calcareous-clay_claystone,3
210,362,u1480,e,1,h,2,102.5,1598.45,126.97,55.98,1409.4,620.26,2702.0,77.02,17.05,40018.02,1480.46,66.58,55.69,41.23,52.05,4.09,6.73,Calcareous-clay_claystone,3
211,362,u1480,e,1,h,2,102.68,1515.21,126.84,55.95,1409.6,620.69,2701.38,77.0,17.07,39768.54,1480.16,66.1,55.3,41.1,50.61,4.07,6.61,Calcareous-clay_claystone,3
212,362,u1480,e,1,h,2,103.1,1462.0,126.72,55.93,1409.81,621.12,2700.77,76.98,17.0,39452.27,1480.0,65.38,54.8,41.0,48.07,4.02,6.91,Calcareous-clay_claystone,3
213,362,u1480,e,1,h,2,103.68,1438.82,126.6,55.91,1410.02,621.55,2700.17,76.96,16.84,39069.21,1479.98,63.3,53.0,39.7,44.74,3.95,7.59,Calcareous-clay_claystone,3
214,362,u1480,e,1,h,2,104.68,1445.66,126.48,55.89,1410.23,621.98,2699.58,76.94,16.59,38619.36,1480.1,59.3,49.3,36.6,42.47,3.93,8.38,Calcareous-clay_claystone,3
