id,Exp,Site,Hole,Core,Type,Sect,Offset,value_1_gra,value_1_mad,value_2_mad,value_3_mad,value_4_mad,value_5_mad,value_6_mad,value_1_ms,value_1_ngr,value_1_pwl,value_1_rgb,value_2_rgb,value_3_rgb,value_1_rsc,value_2_rsc,value_3_rsc,lithology,cod_lit
0,362,u1480,e,1,h,2,2.5,1405.89,53.22,68.85,1888.03,1267.25,3778.51,87.79,24.31,65585.16,1496.24,646761.76,303.79,202.84,48.96,5.09,10.9,Calcareous-clay_claystone,3
1,362,u1480,e,1,h,2,3.1,1476.0,54.48,68.76,1881.28,1257.81,3765.71,87.7,27.0,66471.14,1527.0,110905.05,121.19,82.7,50.77,4.48,10.29,Calcareous-clay_claystone,3
2,362,u1480,e,1,h,2,3.68,1529.48,55.72,68.66,1874.6,1248.47,3753.02,87.62,29.48,67320.43,1551.25,70.8,57.0,40.7,51.32,4.47,9.96,Calcareous-clay_claystone,3
3,362,u1480,e,1,h,2,4.68,1568.69,56.95,68.57,1867.98,1239.21,3740.43,87.53,31.53,68133.93,1570.03,62.3,50.3,36.4,51.0,4.46,9.67,Calcareous-clay_claystone,3
4,362,u1480,e,1,h,2,5.0,1595.84,58.17,68.48,1861.42,1230.05,3727.95,87.45,33.25,68912.5,1584.3,1500.18,60.66,43.6,50.19,4.64,9.22,Calcareous-clay_claystone,3
5,362,u1480,e,1,h,2,5.6,1613.0,59.37,68.39,1854.93,1220.98,3715.57,87.37,35.0,69656.99,1595.0,620.29,64.26,46.37,48.88,4.44,9.21,Calcareous-clay_claystone,3
6,362,u1480,e,1,h,2,5.68,1622.1,60.56,68.3,1848.5,1211.99,3703.3,87.28,35.85,70368.26,1602.76,72.0,58.8,44.1,47.55,4.43,9.01,Calcareous-clay_claystone,3
7,362,u1480,e,1,h,2,6.68,1624.93,61.74,68.2,1842.13,1203.1,3691.14,87.2,36.79,71047.13,1608.39,59.6,49.8,38.2,46.25,4.42,8.83,Calcareous-clay_claystone,3
8,362,u1480,e,1,h,2,7.0,1623.15,62.91,68.11,1835.82,1194.29,3679.08,87.12,37.51,71694.43,1612.44,72.18,53.27,42.45,45.09,4.41,8.66,Calcareous-clay_claystone,3
9,362,u1480,e,1,h,2,7.5,1618.26,64.06,68.02,1829.58,1185.57,3667.12,87.04,38.04,72310.96,1615.39,68.59,53.9,42.85,43.89,3.74,7.39,Ash_tuff_organic,2
10,362,u1480,e,1,h,2,7.68,1611.64,65.2,67.93,1823.39,1176.94,3655.26,86.95,38.41,72897.51,1617.65,60.4,51.8,40.6,43.34,4.4,8.35,Ash_tuff_organic,2
11,362,u1480,e,1,h,2,8.0,1604.52,66.33,67.84,1817.27,1168.4,3643.51,86.87,38.64,73454.86,1619.49,52.44,45.6,34.37,42.72,4.39,8.19,Ash_tuff_organic,2
12,362,u1480,e,1,h,2,8.1,1598.0,67.44,67.75,1811.21,1159.94,3631.86,86.79,38.0,73983.78,1621.0,50.27,43.23,31.97,42.23,4.38,8.03,Ash_tuff_organic,2
13,362,u1480,e,1,h,2,8.68,1593.01,68.54,67.66,1805.2,1151.57,3620.31,86.71,38.73,74485.02,1622.67,52.0,43.0,31.5,41.87,4.37,7.88,Ash_tuff_organic,2
14,362,u1480,e,1,h,2,9.0,1590.39,69.63,67.57,1799.26,1143.28,3608.86,86.63,38.64,74959.32,1624.11,58.16,48.02,36.15,41.6,4.36,7.71,Ash_tuff_organic,2
15,362,u1480,e,1,h,2,9.68,1590.81,70.71,67.48,1793.38,1135.07,3597.51,86.55,38.47,75407.41,1625.37,62.7,52.3,39.9,41.41,4.35,7.54,Ash_tuff_organic,2
16,362,u1480,e,1,h,2,10.0,1594.7,71.78,67.39,1787.55,1126.96,3586.26,86.47,38.24,75830.0,1626.31,63.49,52.95,40.22,41.64,4.05,9.83,Ash_tuff_organic,2
17,362,u1480,e,1,h,2,10.6,1602.0,72.83,67.31,1781.79,1118.92,3575.11,86.39,38.0,76227.79,1627.0,64.15,53.91,41.05,41.21,4.34,7.18,Ash_tuff_organic,2
18,362,u1480,e,1,h,2,10.68,1612.12,73.87,67.22,1776.08,1110.97,3564.06,86.31,37.66,76601.47,1626.87,65.0,54.3,41.8,41.17,4.33,7.0,Ash_tuff_organic,2
19,362,u1480,e,1,h,2,11.0,1623.79,74.9,67.13,1770.43,1103.1,3553.1,86.23,37.32,76951.71,1626.52,64.79,54.17,41.89,41.16,4.32,6.8,Ash_tuff_organic,2
20,362,u1480,e,1,h,2,11.68,1635.22,75.92,67.04,1764.84,1095.31,3542.24,86.16,36.97,77279.18,1625.92,63.7,53.1,41.1,41.18,4.31,6.61,Ash_tuff_organic,2
21,362,u1480,e,1,h,2,12.0,1644.02,76.92,66.95,1759.31,1087.61,3531.48,86.08,36.6,77584.52,1625.27,65.77,54.33,42.81,41.22,4.3,6.41,Ash_tuff_organic,2
22,362,u1480,e,1,h,2,12.5,1647.29,77.92,66.87,1753.83,1079.99,3520.82,86.0,36.23,77868.37,1624.86,65.96,54.95,43.38,41.19,3.85,5.65,Ash_tuff_organic,2
23,362,u1480,e,1,h,2,12.68,1642.62,78.9,66.78,1748.41,1072.44,3510.25,85.92,35.86,78131.35,1624.97,67.4,57.0,45.3,41.35,4.29,6.02,Ash_tuff_organic,2
24,362,u1480,e,1,h,2,13.0,1629.0,79.87,66.69,1743.05,1064.98,3499.77,85.85,35.5,78374.06,1625.75,64.51,55.63,44.07,41.44,4.28,5.84,Ash_tuff_organic,2
25,362,u1480,e,1,h,2,13.1,1607.0,80.83,66.61,1737.74,1057.6,3489.39,85.77,38.0,78597.12,1627.0,62.62,54.42,43.79,41.55,4.27,5.66,Ash_tuff_organic,2
26,362,u1480,e,1,h,2,13.68,1578.53,81.78,66.52,1732.49,1050.3,3479.11,85.69,34.77,78801.09,1629.36,57.9,50.2,41.1,41.68,4.26,5.5,Ash_tuff_organic,2
27,362,u1480,e,1,h,2,14.0,1547.27,82.71,66.44,1727.29,1043.07,3468.91,85.62,34.41,78986.54,1631.91,57.32,49.85,41.84,41.83,4.26,5.35,Ash_tuff_organic,2
28,362,u1480,e,1,h,2,14.68,1518.23,83.64,66.35,1722.15,1035.93,3458.82,85.54,34.05,79154.04,1634.57,56.9,50.4,42.5,42.01,4.25,5.21,Ash_tuff_organic,2
29,362,u1480,e,1,h,2,15.0,1497.17,84.55,66.27,1717.06,1028.86,3448.81,85.47,33.69,79304.13,1636.97,53.61,47.81,39.66,41.44,3.19,3.27,Ash_tuff_organic,2
30,362,u1480,e,1,h,2,15.6,1488.0,85.46,66.18,1712.03,1021.87,3438.89,85.39,31.0,79437.33,1639.0,53.85,47.9,39.35,42.44,4.23,5.0,Ash_tuff_organic,2
31,362,u1480,e,1,h,2,15.68,1492.33,86.35,66.1,1707.05,1014.95,3429.07,85.32,32.99,79554.17,1639.8,53.3,46.1,37.6,42.7,4.23,4.92,Ash_tuff_organic,2
32,362,u1480,e,1,h,2,16.0,1508.78,87.23,66.01,1702.12,1008.12,3419.34,85.25,32.63,79655.15,1639.98,55.77,48.07,39.51,42.99,4.22,4.85,Ash_tuff_organic,2
33,362,u1480,e,1,h,2,16.68,1533.67,88.1,65.93,1697.25,1001.36,3409.69,85.17,32.28,79740.75,1639.39,56.7,49.4,40.8,43.3,4.21,4.81,Ash_tuff_organic,2
34,362,u1480,e,1,h,2,17.0,1560.63,88.95,65.84,1692.43,994.67,3400.14,85.1,31.93,79811.46,1638.19,53.68,46.59,38.15,43.65,4.2,4.78,Ash_tuff_organic,2
35,362,u1480,e,1,h,2,17.5,1581.01,89.8,65.76,1687.67,988.06,3390.68,85.03,31.58,79867.74,1636.69,53.0,46.13,37.57,45.26,3.58,4.95,Ash_tuff_organic,2
36,362,u1480,e,1,h,2,17.68,1587.01,90.64,65.68,1682.95,981.52,3381.3,84.95,31.23,79910.05,1635.2,52.4,44.9,36.2,44.44,4.19,4.78,Ash_tuff_organic,2
